,location,region,lat,lon,prediction,anger,disgust,fear,joy,neutral,sadness,surprise
844,cacak-se17-rs,europe/belgrade,43.89139,20.34972,1.0,0.1707701155938702,0.004433798812161935,0.48278528521463415,0.08425195950721655,0.1618967255551352,0.053475821352984884,0.042386286908489626
845,cachoeiro de itapemirim-08-br,america/sao_paulo,-20.84889,-41.11278,0.0,0.09190696404513082,0.0046677354866088,0.6182493233319485,0.07316391644152724,0.12879536227873437,0.037944037424908386,0.045272670855576305
846,cachoeiro de itapemirim-08-br,america/sao_paulo,-20.84889,-41.11278,1.0,0.03073161933571095,0.00081199852866115,0.4776319181546569,0.00805286690592765,0.42700420552864665,0.015056025236844949,0.040711360285058555
847,caen-9914-fr,europe/paris,49.18585,-0.35912,0.0,0.18123270257814655,0.009144147366600477,0.5299200562454575,0.08968761411878971,0.11409434789742082,0.04562399329331145,0.03029713709179437
848,caen-9914-fr,europe/paris,49.18585,-0.35912,1.0,0.20700846226715716,0.018770018014371916,0.47569742179008306,0.0684288828035693,0.13422465884723275,0.05886752229713783,0.037003036720680206
849,cagayan de oro-1043-ph,asia/manila,8.48222,124.64722,0.0,0.09340587042904992,0.0019987433761636357,0.4249736830682308,0.11183553368476108,0.2381002252400215,0.04061538485727351,0.08907056480608996
850,cagayan de oro-1043-ph,asia/manila,8.48222,124.64722,1.0,0.06876689166800412,0.0014936081113892834,0.40444738413941195,0.14421591869027947,0.251540870906556,0.021145898337250293,0.10838944768957519
851,cagliari-14ca-it,europe/rome,39.20738,9.13462,0.0,0.10760582230859965,0.0020691421272708128,0.6746583417104441,0.11992926416230193,0.04569657639752504,0.028983214926216916,0.021057622343787157
852,cagliari-14ca-it,europe/rome,39.20738,9.13462,1.0,0.1631262792062069,0.0024763870408857475,0.6415029248104582,0.12194291191767925,0.027599009133063297,0.023926597459893728,0.01942588928542139
853,cairns-04-au,australia/brisbane,-16.92304,145.76625,0.0,0.07413459256448171,0.0038348264167706483,0.1441026292422801,0.1119193280931257,0.48662494679727,0.056371717538857065,0.12301193128169147
