,location,region,lat,lon,prediction,status_id,code,user_id,probability,Author,twitter_id,# mv_care_virtue,# mv_care_vice_harm,# mv_fairness_virtue,# mv_fairness_vice_cheating,# mv_loyalty_virtue,# mv_loyalty_vice_betrayal,# mv_authority_virtue,# mv_authority_vice_subversion,# mv_sanctity_virtue,# mv_sanctity_vice_degradation,# mv_liberty_virtue,# mv_liberty_vice_oppression
42,abu dhabi-01-ae,asia/dubai,24.46667,54.36667,1.0,1.5984398615613537e+18,603492.0,1.04590983242253e+18,0.816616302913687,1.04590983242253e+18,1.5984398615613537e+18,0.04599659284497445,0.13969335604770017,0.0,0.010221465076660987,0.24701873935264054,0.0,0.03577512776831346,0.013628620102214651,0.0017035775127768314,0.02385008517887564,0.11243611584327087,0.020442930153321975
43,abu road-24-in,asia/kolkata,24.48012,72.78186,0.0,1.5983087606474353e+18,137082.0,1.356561855891708e+18,0.6413090980096328,1.356561855891708e+18,1.5983087606474353e+18,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
44,abu road-24-in,asia/kolkata,24.48012,72.78186,1.0,1.5971594224089293e+18,137082.0,2920868732.0,0.757623048518257,2920868732.0,1.5971594224089293e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,abuja-11-ng,africa/lagos,9.06853,7.48375,0.0,1.5983177651160374e+18,590400.0,7.379687837095805e+17,0.37830214367179554,7.379687837095805e+17,1.5983177651160374e+18,0.19656236227412957,0.052886734244160426,0.018069634200088145,0.008373732921992068,0.25782282944028206,0.0022036139268400176,0.04847950639048039,0.019391802556192154,0.05773468488320846,0.00749228735125606,0.07139709122961657,0.020273248126928163
46,abuja-11-ng,africa/lagos,9.06853,7.48375,1.0,1.5986331812216164e+18,590400.0,7.89520807985977e+17,0.8050989192233423,7.89520807985977e+17,1.5986331812216164e+18,0.17006802721088435,0.03741496598639456,0.018140589569160998,0.007936507936507936,0.26077097505668934,0.0022675736961451248,0.02834467120181406,0.009070294784580499,0.05328798185941043,0.009070294784580499,0.018140589569160998,0.021541950113378686
47,acambaro-11-mx,america/mexico_city,20.03024,-100.72249,0.0,1.5973406074622095e+18,106008.0,6.282843665766292e+17,0.2071897841790685,6.282843665766292e+17,1.5973406074622095e+18,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,acapulco de juarez-12-mx,america/mexico_city,16.86336,-99.8901,0.0,1.597640896425981e+18,652136.0,3.053877009448482e+17,0.2842471940888891,3.053877009448482e+17,1.597640896425981e+18,0.027777777777777776,0.027777777777777776,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.05555555555555555,0.08333333333333333,0.0,0.0
49,acapulco de juarez-12-mx,america/mexico_city,16.86336,-99.8901,1.0,1.5979486108735043e+18,652136.0,6.437043308401412e+17,0.8167024471325455,6.437043308401412e+17,1.5979486108735043e+18,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
50,acarigua-18-ve,america/caracas,9.55451,-69.19564,0.0,1.5978822059026514e+18,244751.0,2.0877742987186048e+17,0.3638247843338157,2.0877742987186048e+17,1.5978822059026514e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
51,acarigua-18-ve,america/caracas,9.55451,-69.19564,1.0,1.5980023279697462e+18,244751.0,6.122773061740397e+17,0.8563492962588016,6.122773061740397e+17,1.5980023279697462e+18,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
52,accra-01-gh,africa/accra,5.55602,-0.1969,0.0,1.5979702963219133e+18,1963264.0,8.004721360167567e+17,0.3606541563736087,8.004721360167567e+17,1.5979702963219133e+18,0.08850118953211737,0.06233148295003965,0.016019032513877873,0.017922283901665344,0.2204599524187153,0.013481363996827915,0.03362410785091197,0.025693893735130847,0.11245043616177637,0.027914353687549565,0.024266455194290246,0.01062648691514671
53,accra-01-gh,africa/accra,5.55602,-0.1969,1.0,1.597967379870028e+18,1963264.0,8.683689962780768e+17,0.8164417241827664,8.683689962780768e+17,1.597967379870028e+18,0.09739776951672863,0.03717472118959108,0.006691449814126394,0.007063197026022305,0.2594795539033457,0.008550185873605948,0.02899628252788104,0.022304832713754646,0.08104089219330855,0.020817843866171002,0.01412639405204461,0.011895910780669145
54,achiaman-00-gh,africa/accra,5.7,-0.33333,0.0,1.5980422724856266e+18,980429.0,9.475878356687841e+17,0.389920302803439,9.475878356687841e+17,1.5980422724856266e+18,0.07591836734693877,0.053877551020408164,0.0326530612244898,0.008979591836734694,0.1526530612244898,0.005714285714285714,0.0163265306122449,0.04,0.07591836734693877,0.010612244897959184,0.0236734693877551,0.012244897959183673
