,location,region,lat,lon,prediction,count,percentage
396,bahawalnagar-04-pk,asia/karachi,29.99866,73.2536,0.0,13,68.42
397,bahawalnagar-04-pk,asia/karachi,29.99866,73.2536,1.0,6,31.58
398,bahawalpur-04-pk,asia/karachi,29.4,71.68333,0.0,20,76.92
399,bahawalpur-04-pk,asia/karachi,29.4,71.68333,1.0,6,23.08
400,bahia blanca-01-ar,america/argentina/buenos_aires,-38.7196,-62.27243,0.0,136,66.67
401,bahia blanca-01-ar,america/argentina/buenos_aires,-38.7196,-62.27243,1.0,68,33.33
402,baia mare-25-ro,europe/bucharest,47.65729,23.56808,0.0,5,71.43
403,baia mare-25-ro,europe/bucharest,47.65729,23.56808,1.0,2,28.57
404,baia mare-32-ro,europe/bucharest,47.65331,23.57949,0.0,6,60.0
405,baia mare-32-ro,europe/bucharest,47.65331,23.57949,1.0,4,40.0
406,bakersfield-ca029-us,america/los_angeles,35.37329,-119.01871,0.0,40,70.18
407,bakersfield-ca029-us,america/los_angeles,35.37329,-119.01871,1.0,17,29.82
408,baku-09-az,asia/baku,40.37767,49.89201,0.0,211,76.45
409,baku-09-az,asia/baku,40.37767,49.89201,1.0,65,23.55
410,balaghat-35-in,asia/kolkata,21.8,80.18333,0.0,1,100.0
411,balasore-21-in,asia/kolkata,21.49417,86.93167,0.0,2,66.67
412,balasore-21-in,asia/kolkata,21.49417,86.93167,1.0,1,33.33
413,balikesir-10-tr,europe/istanbul,39.64917,27.88611,0.0,37,39.78
414,balikesir-10-tr,europe/istanbul,39.64917,27.88611,1.0,56,60.22
415,balotra-24-in,asia/kolkata,25.83242,72.24,0.0,6,100.0
416,balrampur-36-in,asia/kolkata,27.42766,82.1871,0.0,3,50.0
417,balrampur-36-in,asia/kolkata,27.42766,82.1871,1.0,3,50.0
418,baltimore-md510-us,america/new_york,39.29038,-76.61219,0.0,840,67.85
419,baltimore-md510-us,america/new_york,39.29038,-76.61219,1.0,398,32.15
420,bamako-01-ml,africa/bamako,12.65,-8.0,0.0,10,41.67
421,bamako-01-ml,africa/bamako,12.65,-8.0,1.0,14,58.33
422,bamberg-02-de,europe/berlin,49.89873,10.90067,0.0,220,48.35
423,bamberg-02-de,europe/berlin,49.89873,10.90067,1.0,235,51.65
424,bamenda-07-cm,africa/douala,5.95266,10.15824,0.0,6,60.0
425,bamenda-07-cm,africa/douala,5.95266,10.15824,1.0,4,40.0
426,ban rangsit-39-th,asia/bangkok,14.02775,100.75603,0.0,52,42.28
427,ban rangsit-39-th,asia/bangkok,14.02775,100.75603,1.0,71,57.72
428,banda aceh-01-id,asia/jakarta,5.5577,95.3222,0.0,54,60.67
429,banda aceh-01-id,asia/jakarta,5.5577,95.3222,1.0,35,39.33
430,bandar 'abbas-11-ir,asia/tehran,27.1865,56.2808,0.0,234,39.93
431,bandar 'abbas-11-ir,asia/tehran,27.1865,56.2808,1.0,352,60.07
432,bandar bushehr-22-ir,asia/tehran,28.9684,50.8385,0.0,1,33.33
433,bandar bushehr-22-ir,asia/tehran,28.9684,50.8385,1.0,2,66.67
434,bandarlampung-15-id,asia/jakarta,-5.42544,105.25803,0.0,201,41.88
435,bandarlampung-15-id,asia/jakarta,-5.42544,105.25803,1.0,279,58.12
436,bandirma-10-tr,europe/istanbul,40.35222,27.97667,0.0,60,85.71
437,bandirma-10-tr,europe/istanbul,40.35222,27.97667,1.0,10,14.29
438,bandundu-01-cd,africa/kinshasa,-3.31667,17.36667,1.0,1,100.0
439,bandung-30-id,asia/jakarta,-6.90389,107.61861,0.0,2710,49.06
440,bandung-30-id,asia/jakarta,-6.90389,107.61861,1.0,2814,50.94
441,bangalore-19-in,asia/kolkata,12.97194,77.59369,0.0,1374,61.15
442,bangalore-19-in,asia/kolkata,12.97194,77.59369,1.0,873,38.85
443,bangkok-40-th,asia/bangkok,13.75398,100.50144,0.0,4268,36.04
444,bangkok-40-th,asia/bangkok,13.75398,100.50144,1.0,7575,63.96
445,banha-12-eg,africa/cairo,30.45906,31.17858,0.0,1552,78.62
446,banha-12-eg,africa/cairo,30.45906,31.17858,1.0,422,21.38
447,bani suwayf-18-eg,africa/cairo,29.07441,31.09785,0.0,5,11.9
448,bani suwayf-18-eg,africa/cairo,29.07441,31.09785,1.0,37,88.1
449,banja luka-02-ba,europe/sarajevo,44.77583,17.18556,0.0,16,80.0
450,banja luka-02-ba,europe/sarajevo,44.77583,17.18556,1.0,4,20.0
451,banjarmasin-12-id,asia/makassar,-3.32442,114.591,0.0,183,48.16
452,banjarmasin-12-id,asia/makassar,-3.32442,114.591,1.0,197,51.84
